PC1,PC2,PC3,model,family,log_n_params,composite_benchmark
22.306951946749802,-16.491053769933156,1.567096021664391,gpt2-small,gpt2,18.63579212356931,0.0909343207018751
12.507991891916452,-16.795148865835877,9.776341664119327,gpt2-medium,gpt2,19.68762834743969,0.1144403270496718
9.988582384427485,-6.232644363511291,5.197445179361697,gpt2-large,gpt2,20.467082431554,0.1104280506724707
5.0464941831778,-7.7593722111209384,7.7786943988127195,gpt2-xl,gpt2,21.12873094505457,0.1243170084941437
45.11101976115912,-5.856351710302729,-15.340342060666927,pythia-70m,pythia,18.064005800013632,0.0842875257399538
27.426262680889252,-9.188347601167623,-6.525202165186198,pythia-160m,pythia,18.903106893196657,0.0849305967768366
13.711432023444319,-12.563649293274546,-2.7632393466390015,pythia-410m,pythia,19.819397625070813,0.1055077179816064
11.011407984759485,-16.969478924668476,4.5462865522587,pythia-1b,pythia,20.734205776984744,0.0904615946398178
7.039787125527824,-12.119508143706936,4.11156366435243,pythia-1.4b,pythia,21.070395368041613,0.1113284349595147
5.528997963801312,-9.488329536620466,6.912449568453347,pythia-2.8b,pythia,21.74391658414481,0.1363575392882791
1.3702033542405414,-18.445937980730427,21.53904838334507,pythia-6.9b,pythia,22.64853586524864,0.13565459455349
-0.30937258941650025,-17.827768082416895,27.055969029648576,pythia-12b,pythia,23.195340507919035,0.1280671930832335
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,llama2-7b,llama2,13.815510557964274,
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,llama2-70b,llama2,13.815510557964274,
0.2371249352228918,0.42555487910248896,-15.077524737842479,llama3-1b,llama3,20.93514619598191,0.203920106192723
-1.214180850391529,-2.5783748536144304,-18.76194126446653,llama3-1b-it,llama3,20.93514619598191,0.4009655943412433
-5.427788829188058,1.9883741502571297,-10.411015523067501,llama3-3b,llama3,21.890470917080133,0.5597882266467012
-9.292163907300106,2.7099259684832777,-9.339895469622434,llama3-8b,llama3,22.80645036490508,0.6820649888462634
-1.3549951749721152,0.6199648023050913,-1.1637077421538062,llama3-70b,llama3,13.815510557964274,
-9.947720739849297,2.230541224213168,-8.581898223110288,llama3.1-8b,llama3.1,13.815510557964274,0.6645977633973298
-23.61911129380183,-1.3326311991471262,-5.1853515235187535,llama3.1-70b,llama3.1,13.815510557964274,0.8692780399312747
-23.86101797838142,-1.125646746237287,-4.749517876656486,llama3.3-70b-it,llama3.3,13.815510557964274,0.9090427896663996
1.949749925256533,1.2794240653662494,-7.522651043948354,qwen2-1.5b,qwen2,13.815510557964274,0.4864183130678123
-8.9326604800307,-3.625364602912359,-7.3327164421708675,qwen2-7b,qwen2,13.815510557964274,0.7441345672578357
-22.802985845735233,-3.910150936434518,0.34926640597382624,qwen2-72b,qwen2,13.815510557964274,0.9347580449614296
-1.480785500312445,-4.954980299429364,-10.761766176332772,qwen2.5-1.5b,qwen2.5,13.815510557964274,0.5800423729417432
-8.567423132355527,-5.33879378503379,-7.395258351367563,qwen2.5-7b,qwen2.5,13.815510557964274,0.7924417112580924
-17.646022294709983,-6.19751671076713,-2.0177049537635003,qwen2.5-32b,qwen2.5,13.815510557964274,0.927531473620229
